t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0.0452,51.4193229,50,0.0124193719,-0.0340007035,0
0.0453,51.4207784,50,0.0124193719,-0.0340007035,0
0.0454,51.4222338,50,0.0124193719,-0.0340007035,0
0.0455,51.4236892,50,0.0124193719,-0.0340007035,0
0.0456,51.4251446,50,0.0124193719,-0.0340007035,0
0.0457,51.4266,50,0.0124193719,-0.0340007035,0
0.0458,51.4280553,50,0.0124193719,-0.0340007035,0
0.0459,51.4295106,50,0.0124193719,-0.0340007035,0
0.046,51.4309659,50,0.0124193719,-0.0340007035,0
0.0461,51.4310135,50,0.0053813861,-0.0278404863,0
0.0462,51.4310612,50,0.0053813861,-0.0278404863,0
0.0463,51.4311088,50,0.0053813861,-0.0278404863,0
0.0464,51.4311565,50,0.0053813861,-0.0278404863,0
0.0465,51.4312041,50,0.0053813861,-0.0278404863,0
0.0466,51.4312518,50,0.0053813861,-0.0278404863,0
0.0467,51.4312995,50,0.0053813861,-0.0278404863,0
0.0468,51.4313471,50,0.0053813861,-0.0278404863,0
0.0469,51.4313948,50,0.0053813861,-0.0278404863,0
0.047,51.4314424,50,0.0053813861,-0.0278404863,0
0.0471,51.4302561,50,-0.000788361781,-0.022239354,0
0.0472,51.4290698,50,-0.000788361781,-0.022239354,0
0.0473,51.4278836,50,-0.000788361781,-0.022239354,0
0.0474,51.4266974,50,-0.000788361781,-0.022239354,0
0.0475,51.4255112,50,-0.000788361781,-0.022239354,0
0.0476,51.424325,50,-0.000788361781,-0.022239354,0
0.0477,51.4231389,50,-0.000788361781,-0.022239354,0
0.0478,51.4219528,50,-0.000788361781,-0.022239354,0
0.0479,51.4207667,50,-0.000788361781,-0.022239354,0
0.048,51.4195806,50,-0.000788361781,-0.022239354,0
0.0481,51.4173218,50,-0.00615225751,-0.0171690343,0
0.0482,51.415063,50,-0.00615225751,-0.0171690343,0
0.0483,51.4128043,50,-0.00615225751,-0.0171690343,0
0.0484,51.4105456,50,-0.00615225751,-0.0171690343,0
0.0485,51.4082869,50,-0.00615225751,-0.0171690343,0
0.0486,51.4060283,50,-0.00615225751,-0.0171690343,0
